lat,lon,temp_c,basement
44.4592,-110.9754,282.9,
41.451,-121.6835,282.9,
44.2085,-110.7008,282.9,
41.7017,-121.4089,282.7,
43.7071,-112.0737,282.4,
41.1376,-122.6445,282.4,
43.7071,-111.7991,282.3,
41.639,-121.8208,282.2,
37.6907,-118.3887,282.1,
44.3965,-110.5635,282.1,
44.5218,-111.1127,281.9,
44.5845,-110.7008,281.9,
41.7017,-123.88,281.8,
43.8951,-111.6618,281.5,
38.1921,-119.2124,281.4,
37.1894,-117.8396,281.3,
41.263,-121.2717,281.2,
43.2684,-114.4075,281.2,
43.1431,-114.4075,280.7,
40.9496,-121.1344,280.3,
43.4564,-112.3482,280.2,
43.3938,-113.3092,280.1,
43.4564,-113.7211,279.9,
44.6472,-111.6618,279.9,
38.0041,-119.0751,279.9,
41.263,-122.0954,279.7,
41.7643,-118.8005,279.3,
41.827,-123.88,279.3,
43.3311,-113.9956,279.1,
38.0668,-118.9378,278.9,
36.8134,-118.1141,278.8,
39.5082,-123.1936,278.7,
36.7507,-117.7023,278.6,
41.451,-121.4089,278.4,
37.7534,-118.8005,278.4,
37.6281,-118.8005,278.3,
43.4564,-113.1719,278.2,
41.9523,-122.2326,278.1,
44.5218,-110.5635,278.1,
40.6363,-120.7225,277.3,
41.5763,-122.2326,277.2,
38.8815,-122.9191,277.0,
44.5845,-110.9754,277.0,
43.3938,-113.0346,276.9,
44.1458,-110.8381,276.9,
43.3311,-113.4465,276.9,
43.4564,-112.6228,276.8,
43.3938,-112.4855,276.6,
41.5763,-122.5072,276.6,
40.5736,-121.4089,276.6,
43.3311,-113.7211,276.3,
40.5736,-120.8598,276.1,
43.3938,-113.8583,276.0,
45.0232,-111.6618,275.9,
38.1294,-118.8005,275.6,
39.8215,-123.88,275.6,
39.7589,-123.1936,275.4,
38.3174,-119.2124,275.3,
42.4537,-122.2326,275.3,
43.4564,-112.8974,275.3,
41.3256,-120.0361,275.2,
39.5709,-112.8974,274.8,
39.6962,-119.7615,274.7,
38.8188,-123.6055,274.5,
36.7507,-117.9768,274.5,
43.5191,-112.7601,274.5,
43.8325,-111.7991,274.3,
40.1976,-123.6055,274.2,
37.5654,-118.3887,274.1,
43.5191,-113.8583,274.1,
38.5681,-118.9378,273.9,
43.2684,-113.8583,273.9,
40.6989,-121.4089,273.8,
38.5055,-122.9191,273.8,
43.6444,-112.2109,273.7,
39.8215,-119.7615,273.6,
43.2684,-114.9566,273.6,
41.3256,-121.1344,273.5,
43.2684,-113.0346,273.4,
35.8733,-106.445,273.4,
43.1431,-114.1329,273.3,
43.5191,-112.2109,273.3,
44.4592,-110.4263,273.3,
42.0777,-113.4465,272.8,
42.7671,-120.7225,272.8,
34.3065,-116.4667,272.8,
36.876,-118.2514,272.7,
42.2657,-124.0173,272.6,
38.4428,-118.6633,272.6,
44.2712,-110.8381,272.6,
43.3311,-121.1344,272.4,
43.3311,-112.8974,272.3,
44.2085,-110.9754,272.3,
41.639,-121.5462,272.3,
41.8897,-118.2514,272.2,
43.5818,-112.3482,272.2,
39.1322,-122.3699,271.9,
41.5136,-119.0751,271.7,
38.0041,-118.8005,271.7,
36.5627,-118.1141,271.6,
42.015,-117.7023,271.4,
36.5,-117.4277,271.3,
44.6472,-110.8381,271.2,
36.6253,-117.9768,271.1,
40.8243,-123.88,271.0,
43.6444,-112.4855,271.0,
41.5136,-123.4682,270.7,
43.3311,-114.2702,270.6,
40.8869,-121.2717,270.4,
43.4564,-112.0737,270.4,
41.9523,-115.0939,270.2,
41.263,-122.6445,270.1,
42.8297,-122.7818,270.1,
39.7589,-119.0751,269.8,
43.3938,-112.2109,269.8,
38.8815,-106.1705,269.7,
42.8924,-120.7225,269.7,
43.5818,-113.1719,269.6,
41.0123,-123.4682,269.5,
41.5763,-121.6835,269.4,
43.7698,-113.3092,269.4,
36.3747,-121.5462,269.3,
44.2712,-110.5635,269.3,
41.075,-121.1344,269.2,
43.7698,-112.2109,269.2,
41.3256,-122.7818,268.9,
41.3883,-121.5462,268.9,
39.4455,-112.8974,268.9,
43.3311,-115.0939,268.8,
41.3256,-121.9581,268.8,
43.2684,-114.682,268.8,
44.3338,-110.4263,268.7,
43.8325,-112.3482,268.6,
39.3202,-112.8974,268.6,
42.015,-118.526,268.4,
43.2684,-113.5838,268.4,
42.8924,-113.3092,268.3,
39.6962,-112.6228,268.3,
41.0123,-122.3699,268.2,
41.7017,-121.9581,268.2,
40.9496,-121.4089,268.2,
43.3311,-113.1719,268.2,
44.1458,-112.4855,268.2,
44.7725,-110.289,268.2,
41.639,-121.2717,267.8,
39.1948,-106.3078,267.7,
42.1404,-120.448,267.7,
41.3883,-122.9191,267.4,
43.0804,-114.2702,267.4,
